gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
201,Dead Maid Quarry,Wiltshire CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,ST804323,51.09,-2.28,380400,132300,01-Jan-80,19-Aug-88,NE,"A stratigraphically important site showing the base of the Upper Cretaceous as developed in south-west England, including the topmost Upper Greensand and basal Lower Chalk. The site is the best exposure of the famous Popple Bed which yields a diverse fauna of mostly phosphatised bivalves, gastropods, ammonites, brachiopods and echinoids. A key palaeontological locality for the Cenomanian.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",DEAD MAID QUARRY
202,West Harnham Chalk Pit,Wiltshire CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SU128288,51.06,-1.82,412800,128800,01-Jan-80,19-Aug-88,NE,"A stratigraphically important site in the Campanian of Wiltshire. This site beautifully displays the Offaster pilula Zone which is here rich in fossils, and is the probable source of much material in the Blackwood collection. The site extends well above the O. pilula Zone into well-exposed and fossiliferous Gonioteuthis quadrata Zone Chalk, good exposure above and below this important zonal boundary make this locality of great stratigraphic value.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",WEST HARNHAM CHALK PIT
203,Furley Chalk Pit,Devon CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,ST276043,50.83,-3.03,327600,104300,01-Jan-80,14-Nov-83,NE,"The site is stratigraphically important for its Cenomanian and early Turonian succession, very different from that known on the coast and further east. The boundary beds at the junction of the Cenomanian and Turonian, in particular, are expanded, and contain siliceous nodules, an unusual fauna and no hardgrounds. Rarely exposed at the base of the pit is a chalk basement bed yielding Cenomanian ammonites of various ages.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",FURLEY CHALK PIT
204,Hooken Cliff,Devon CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SY209881,50.69,-3.12,320900,88100,01-Jan-80,06-Sep-84,NE,"This site contains some of the most westerly major Upper Cretaceous exposures in England, which are of great stratigraphic importance. They show the intriguing lateral thickness and facies variations of the Cenomanian Limestone, containing an abundant and, in part, rare fauna. The Neocardioceras Hardground, at the top of the Cenomanian, yields ammonites that are almost unknown elsewhere in Britain at this horizon. The site beautifully displays the basal Turonian or Beer Stone, a large echinoderm-rich calcarenite lens and also the major erosional truncation of the Lower Turonian and Cenomanian. A unique site for its sedimentology and stratigraphically important fossil horizons.",Cretaceous,Coastal and River Cliffs,SIDMOUTH TO BEER COAST
205,Wilmington Quarry,Devon CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SY209997,50.79,-3.12,320900,99700,01-Jan-80,14-Nov-83,NE,"The type locality and at present the only exposure of the Cenomanian Wilmington Sands. These sands fill a depression in the underlying Upper Greensand, and are a quartz sand facies laterally equivalent to the lowest part of the Cenomanian Limestone seen on the coast. The Grizzle, which is here an overlying limestone unit, yields a rich fauna that includes crab carapaces, unknown from other localities. A key site for understanding facies changes in the Upper Cretaceous.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",WILMINGTON QUARRY
206,Handfast Point to Ballard Point,Dorset CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SZ043824,50.64,-1.94,404300,82400,01-Jan-80,06-Aug-86,NE,"A strike and dip cliff section displaying unequalled exposures of mid- Campanian Chalk, especially important for palaeontological studies. To the south the Upper Chalk is separated from the Lower and Middle Chalk by the spectacular Purbeck Thrust. An outstanding stratigraphic and structural site of national importance.",Cretaceous,Coastal and River Cliffs,STUDLAND CLIFFS
207,Shillingstone Quarry,Dorset CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,ST823098,50.89,-2.25,382300,109800,01-Jan-80,30-Apr-85,NE,"A stratigraphically important site for the Cenomanian, Turonian and Coniacian stages. The site lies at the edge of an area affected by major periods of non-deposition, responsible for the hardgrounds of the Chalk Rock and Spurious Chalk Rock. These pauses in sedimentation, attributable to tectonic or eustatic events, only occurred in the south of Hampshire and this part of Dorset. An important locality for studies of late Cretaceous stratigraphy and tectonics.",Cretaceous,Exposures in Active Quarries and Pits,SHILLINGSTONE QUARRY
208,White Nothe,Dorset CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SY764813,50.63,-2.33,376400,81300,01-Jan-80,07-Aug-85,NE,"This site is the most important Upper Cretaceous locality on the Dorset coast. The beautifully weathered Lower Chalk succession is only 15m thick with most of the early and mid-Cenomanian absent. It is the best demonstration of Cenomanian onlap in south-west England. Below the Chalk, Gault and Upper Greensand are also present, all three Cretaceous units lying above Upper Jurassic formations in one of Britain's best known and most spectacular examples of angular unconformity. The Coniacian section above, exposed in the Signal Bluff, displays one of the best examples of intra-Upper Cretaceous erosional truncation, here picked out by hardground development. The cliff line between West and Middle Bottom is intensively disturbed and marks the position of the Purbeck disturbance. A key site for understanding late Mesozoic stratigraphy.",Cretaceous,Coastal and River Cliffs,SOUTH DORSET COAST
209,Snowdon Hill Quarry,Somerset,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,ST312089,50.87,-2.98,331200,108900,01-Jan-80,28-Mar-83,NE,"This site is the most important Lower Chalk Basement Bed exposure in south-west England. Here, overlying an excellent section of Upper Greensand, the basement bed has yielded a rich, phosphatised macrofauna, predominantly of Turrilites acutus Zone age. A key palaeontological locality.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",SNOWDON HILL QUARRY
210,Enthorpe Railway Cutting,East Riding of Yorkshire,"Cenomanian, Turonian, Senonian, Maastrichtian","Northern Province, England",Notified,SE906456,53.90,-0.62,490600,445600,01-Jan-80,13-Aug-82,NE,"The best exposure in England of the stratigraphically important, yet poorly known, lower Burnham Chalk. An interval poorly exposed on the Flamborough Coast. This is a vital area for correlations between the distinct and faunally very different southern English and North Sea Basins. Included in the section are the Ulceby Oyster Bed, Enthorpe Marls and the Kiplingcotes Marls and Flints.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",ENTHORPE RAILWAY CUTTING
211,Flamborough Head,North Yorkshire CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Northern Province, England",Notified,TA154755,54.16,-0.23,515400,475500,01-Jan-80,13-Feb-87,NE,"The only complete coastal exposure of North Sea and German-type chalk in Britain, showing the Ferriby, Welton, Burnham and Flamborough Chalk formations. This sequence is vital in any attempt at correlations between British onshore, British offshore and German Upper Cretaceous successions. The site is also important for its spectacular tectonic disturbance at Scale Nab, and the rich lithistid sponge faunas of the Sewerby Cliffs. A critical section in gaining an understanding of the Chalk of the North Sea Basin.",Cretaceous,Coastal and River Cliffs,FLAMBOROUGH HEAD
212,Melton Bottom Chalk Pit,East Riding of Yorkshire,"Cenomanian, Turonian, Senonian, Maastrichtian","Northern Province, England",Notified,SE970277,53.74,-0.53,497000,427700,01-Jan-80,13-Aug-82,NE,"An extensive exposure of Chalk, overlying the Lias with marked unconformity. Type locality for the Welton Chalk Formation. The site also exposes an excellent section of the Ferriby Chalk Formation and the best exposure of the Black Band in England. The last named is a remarkable late Cenomanian organic-rich marker band marking an anoxic event, only seen in the most north-easterly Chalk outcrops. Such deposits are common in deep oceanic sediments but rare in the Chalk, this horizon represents the spread of such conditions southwards from the deeper portions of the North Sea Basin.",Cretaceous,Exposures in Active Quarries and Pits,MELTON BOTTOM CHALK PIT
213,Dover to Kingsdown Cliffs,Kent CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,TR242365,51.08,1.20,624200,136500,01-Jan-80,27-Jun-86,NE,"An internationally important stratigraphic reference site which provides extensive and near continuous cliff and shore exposures of the Cenomanian, Turonian and Coniacian stages (Lower, Middle and early Upper Chalk). The site is historically very important as many geological principles, such as biostratigraphic zonation, were tested here during the early development of geology. Many parts of the succession are fossiliferous and, in particular, the upper parts of the Turonian and lower parts of the Coniacian are rich in Micraster, which have contributed, and still are contributing, to our knowledge of evolution.",Cretaceous,Coastal and River Cliffs,DOVER TO KINGSDOWN CLIFFS
214,Thanet Coast,Kent CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,TR296696,51.38,1.30,629600,169600,01-Jan-80,24-Nov-88,NE,This is the national reference locality for the Santonian Stage in Britain. It is complementary to the Folkestone to Kingsdown site. It exposes several stratigraphically important marker beds such as Bedwell's Columnar Band and Whitaker's Three Inch Band. Towards the top of the Santonian the chalk is very fossiliferous and here the Marsupites Zone contains a distinctive and famous band of pyramidal- shaped Echinocorys.,Cretaceous,Coastal and River Cliffs,THANET COAST
215,Cuckmere to Seaford,East Sussex CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,TV488982,50.76,0.11,548800,98200,01-Jan-80,27-Jun-86,NE,"An important stratigraphic site on the steep western flank of the Seaford Head anticline. The site exposes Upper Chalk of Coniacian, Santonian and early Campanian age. The excellent exposures of near horizontal Coniacian chalk show several remarkable sedimentary structures, including unusual laminated calcarenites within the chalk. These controversial deposits give the site great research potential.",Cretaceous,Coastal and River Cliffs,SEAFORD TO BEACHY HEAD
216,Newhaven to Brighton,Brighton and Hove,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,TQ334033,50.81,-0.11,533400,103300,01-Jan-80,11-Jun-86,NE,This site provides the best and most extensive exposure of the Offaster pilula Zone in England. The gentle folding and the superb accessibility of the base of the cliff make this an important collecting site for faunas of the upper Santonian and lower Campanian. A nationally important reference section for the Upper Cretaceous.,Cretaceous,Coastal and River Cliffs,BRIGHTON TO NEWHAVEN CLIFFS
217,Southerham Pit,East Sussex CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,TQ426096,50.87,0.03,542600,109600,05-Dec-88,05-Dec-88,NE,"An historic quarry cut through the southern, northward dipping limb of the Mount Cabun syncline. The stratigraphically important Turonian and Coniacian chalk sections provided many of the fossil specimens described and figured by Mantell, and now in the British Museum. This is the only site in Britain in which granular phosphatic chalk is known to occur in the Turonian, here overlying a spectacularly mineralised hardground. The late Turonian and Coniacian succession exposed in this quarry is thicker than that known from any other British locality.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",SOUTHERHAM WORKS PIT
218,Caistor St Edmund Chalk Pit,Norfolk,"Cenomanian, Turonian, Senonian, Maastrichtian","Transitional Province, England",Notified,TG238048,52.59,1.30,623800,304800,01-Jan-80,08-Mar-91,NE,"This site displays the best exposure of late Campanian Beeston Chalk, a unit not exposed on the coast and representing some of the youngest in situ chalk in Britain. The site is famous for its large flints, known as potstones and paramoudras, with their remarkable contained burrow systems. The Chalk here is very fossiliferous; of note are the specimens of Belemnitella, Inoceramus and Echinocorys which it commonly yields.",Cretaceous,Exposures in Active Quarries and Pits,CAISTOR ST. EDMUND CHALK PIT
219,Catton Grove Chalk Pit,Norfolk,"Cenomanian, Turonian, Senonian, Maastrichtian","Transitional Province, England",Notified,TG229109,52.65,1.30,622900,310900,01-Jan-80,22-Jul-83,NE,"Type locality for the late Campanian Catton Sponge Bed. This famous, early, diagenetically hardened level has yielded important ammonites and many undescribed sponges. This seldom exposed horizon, an important marker band in the Chalk of East Anglia, is best seen at Catton.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",CATTON GROVE CHALK PIT
220,Hunstanton Cliffs,Norfolk,"Cenomanian, Turonian, Senonian, Maastrichtian","Northern Province, England",Notified,TF672413,52.94,0.49,567200,341300,01-Jan-80,22-Jul-83,NE,"The best exposure of the Ferriby Chalk Formation in Norfolk. This beautifully exposed cliff section displays a condensed Albian to Cenomanian succession, here represented by the Red Chalk and overlying Paradoxica Bed, resting on the Carstone. A calcarenite bed near the top of the section resembles the Totternhoe Stone of Cambridgeshire. A prime research and educational locality of national importance.",Cretaceous,Coastal and River Cliffs,HUNSTANTON CLIFFS
221,Gribun,"Lochaber, Skye and Lochalsh and Argyll and the Islands","Cenomanian, Turonian, Senonian, Maastrichtian","Inner Hebrides Group, north-west Scotland",Notified,NM454328,56.42,-6.13,145400,732800,01-Jan-80,05-Jul-88,SNH,"An important site displaying many fossiliferous outcrops of the Morvern Greensand. The site is famous for its late Upper Cretaceous limestone (the Chalk of earlier published accounts) lying unconformably on Triassic strata, and the overlying sand-filled crevices, thought to be of Tertiary age. Key exposures of great interest to the student of Mesozoic palaeogeography and stratigraphy within a multi-interest locality of national importance.",Cretaceous,"EC,EO",GRIBUN SHORE AND CRAGS
222,Beinn Iadain and Beinn na h-Uamha,"Lochaber, Skye and Lochalsh and Argyll and the Islands","Cenomanian, Turonian, Senonian, Maastrichtian","Inner Hebrides Group, north-west Scotland",Notified,NM670541,56.62,-5.80,167000,754100,01-Jan-80,31-Jul-86,SNH,"This site shows the most complete Upper Cretaceous succession visible anywhere in Scotland. This consists largely of the Cenomanian Morvern Greensand and Loch Aline Glass Sand, overlain on Beinn Iadain by a Santonian-Campanian siliceous limestone. On Beinn Iadain only, a fossiliferous Cenomanian clay intervenes between the Glass Sand and the limestone. Of the few stratigraphically useful fossils known from the Upper Cretaceous of Scotland, the majority come from this site, and these have enabled the Upper Cretaceous sediments of western Scotland to be dated. A key site in studies of Upper Cretaceous palaeogeogrpahy and stratigraphy. The juxtaposition in this area of Precambrian Moine schist, Triassic, Lower Jurassic and Upper Cretaceous sediments and Tertiary Volcanics is unique.",Cretaceous,EO,BEINN IADAIN AND BEINN NA H`UAMHA
223,Machir Bay,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Coastal Geomorphology of Scotland,Machair,Notified,NR210630,55.78,-6.45,121000,663000,01-Jan-80,12-May-83,SNH,A high-energy beach complex of dune and machair forms contained between rocky headlands and overlying a series of high-level marine terraces and screes. A number of streams enter the bay; the great variety of dune and machair surfaces and forms present have been strongly influenced by hydrological processes. The result is a complex mixture of old and recent forms where the effects of the water-table and drainage controls on machair and dune morphology can be examined.,Quaternary,"IA,IS",RINNS OF ISLAY
224,West Coast of Jura,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Coastal Geomorphology of Scotland,Gravel and 'shingle' beaches,Notified,NM688003,56.14,-5.72,168800,700300,01-Jan-80,12-May-83,SNH,"The prime geomorphological interest of the coastline of Jura is the magnificent series of raised shingle beaches and terraces, wave-cut rock platforms and cliff features including some of the most extensive areas of raised shoreline shingle bars and terraces to be found anywhere in western Europe. However, there are several small pockets of beach, dune and machair which, whilst not of the highest geomorphological importance viewed in isolation, form essential integral parts of the coastline as a whole and, despite their small scale, show remarkably diverse and dynamic forms. Of these, Corpach is the area of greatest intrinsic physiographic value and is an example of the comparatively rare confined cliff-foot type of machair. The close morphological relationship between these comparatively young coastal elements and the fossil coastline features gives exceptional potential for studying the chronology of coastal evolution in Scotland over a relatively long period of time. One of Britain's most important geomorphological localities.",Quaternary,"IA,IS",West Coast of Jura
225,Central Sanday,Orkney Islands,Coastal Geomorphology of Scotland,Sand-spits and tombolos,Notified,HY716415,59.26,-2.50,371600,1041500,01-Jan-80,18-May-83,SNH,"The Central Sanday coast illustrates an outstanding range of depositional features including an assemblage of tombolas, spits, sand flats, dunes and machair of unusual complexity. The blown sand landforms are interesting in their own right, and the site has potential for elucidating some basic problems of dune morphology and machair evolution in the Highlands and Islands. Such an extensive area of machair is unusual outside the Outer Hebrides while the effects of severe deflation are particularly well-demonstrated at the site. The most outstanding features of the site, however, are the tombolas, bars and spits. These features are of interest individually, but collectively they make up a set of related features which is unique in the Highlands and Islands and perhaps in Britain as a whole. Central Sanday must be regarded as a key area for the study of constructive coastal processes in an area of relative land subsidence, the mechanics of which are still imperfectly understood.",Quaternary,"IA,IS",CENTRAL SANDAY
226,Balta Island,Shetland Islands,Coastal Geomorphology of Scotland,Sandy beaches and dunes,Notified,HP660075,60.75,-0.79,466000,1207500,01-Jan-80,18-Mar-86,SNH,"A complex comprising a continuous machair veneer extending across this small island from the north-west-facing bay through a low col to the eastern sea-cliffs. Aeolianite is present and provides a base- level for deflation in places. Dunes are absent, the complex thus representing an example of a beach-machair continuum. The combination of rill dissection, severe wind deflation and a high rabbit population is reducing the machair to a highly dissected state and the rate of these changes is particularly rapid. The geomorphological importance of Balta, as a small uninhabited island, is that it makes an ideal research area for studying the processes of machair deflation.",Quaternary,"IA,IS",BALTA
227,Dunnet Bay,Caithness and Sutherland and Ross and Cromarty,Coastal Geomorphology of Scotland,Sandy beaches and dunes,Notified,ND215710,58.62,-3.35,321500,971000,01-Jan-80,27-Sep-82,SNH,"The importance of Dunnet Bay as a physiographic site lies in the spectacular scale of its dune and machair landforms. The size and range of activity in the various forms of dune blowouts, and the relatively frequent occurrence of direct wave attack on the main dune ridge, make this a key site for studies of current processes. The general morphology of this massive, sharp-crested dune ridge with gently sloping, extensive dune pasture, dune moorland and machair on its landward side is unique.",Quaternary,"IA,IS",DUNNET LINKS
228,Morrich More,Caithness and Sutherland and Ross and Cromarty,Coastal Geomorphology of Scotland,Saltmarshes,Notified,NH803835,57.83,-4.02,280300,883500,01-Jan-80,01-Sep-82,SNH,"The physiographic interest of the Morrich More is outstanding both for the variety and scale of its coastal landforms, including machair, free-moving yellow parabolic dunes, stabilised grey dunes and developing foredune succession, saltmarshes, and sandflat, and especially for the complete morphological and stratigraphic record it contains of the shoreline changes of the last 7,000 years. It has a potential, perhaps greater than any other part of the Highland coastline, for research into rates of contemporary change and comparison with those deduced from sub-surface stratigraphy.",Quaternary,"IA,IS",MORRICH MORE
229,Sandwood Bay,Caithness and Sutherland and Ross and Cromarty,Coastal Geomorphology of Scotland,Sandy beaches and dunes,Notified,NC208651,58.54,-5.08,220800,965100,01-Jan-80,29-Aug-84,SNH,"The beach complex at Sandwood consists of a highly dynamic, shingle- cored sand dune and machair bar impounding a freshwater loch at the mouth of Strath Shinary. Its geomorphological interest rests in the very high current activity of the beach, dune and machair landforms, in a situation where human interference is limited. This offers the rare opportunity of quantifying the natural rates of change operational in these landforms. In addition, a variety of other landforms, including classic cliff features cut in Torridonian sandstone and Lewisian gneiss are juxtaposed with the beach complex, and, as the source of sediment, are intimately related to its current and past evolution.",Quaternary,"IA,IS",SOUTHERN PARPHE
230,"Ardivachar to Stoneybridge, South Uist",Eilean Siar (Western Isles),Coastal Geomorphology of Scotland,Machair,Part notified,NF758472,57.40,-7.40,75800,847200,01-Jan-80,22-Jun-88,SNH,"A shingle beach complex extending for more than 20km from Ardivachar to Stoneybridge. To the north, Gualann Island represents the remains of the much larger submerged and fragmented dune and machair system, dissected portions of which are seen scattered throughout the site. The coastal dunes display a wide variety of erosional forms whilst inland, on the low flat machair plain, are extensive areas of redepostional dune hummocks and an especially well-developed and prominent escarpment edge. Here, the landform assemblage conforms with the classic beach-dune-machair sequence in its type location, the Uists. From the beach to blackland the sequence includes coastal dune ridge, low, flat, seasonally flooded machair plain, retreating escarpment, hilly machair backslope and machair loch. The low machair plain represents the ultimate stage in machair development formed as a result of deflation by scarp retreat. This site includes the area in the Hebrides where most research into machair development has been undertaken. The extensive, continuously developed system and the range and variety of erosional and depositional forms found make this site of outstanding geomorphological importance as a beach complex.",Quaternary,"IA,IS",LOCH BEE MACHAIR
231,Luskentyre to Corran Seilebost,Eilean Siar (Western Isles),Coastal Geomorphology of Scotland,Machair,Notified,NG057972,57.87,-6.96,105700,897200,01-Jan-80,23-Jun-83,SNH,"This large area is outstanding for the concentration of a wide variety of coastal landforms, both typical and unusual, which together make up a geomorphological unit of the highest importance. A complex range of landforms including very large conical sandhills, dune ridges, deep active blowouts and foredunes, mature machair surfaces and aeolianite deposits combine to make the Luskentyre promontory one of the most dynamic and scientifically interesting areas in the Outer Hebrides. Corran Seilebost, by contrast, is significant as a dynamic spit and for the low-lying saltmarsh and extensive sandflats of Tr…igh Luskentyre it encloses and which may be developed upon old machiar. It is suggested that the present complex represents a drowned inlet, the machairs of Lyskentyre and Corran Seilebost being the reshaped remnants of a larger machair area fragmented by post- glacial submergence. There is high potential for study into the stratigraphy of the site, especially of the pre-Flandrian sub- saltmarsh deposits.",Quaternary,"IA,IS",LUSKENTYRE BANKS AND SALTINGS
232,Machairs Robach and Newton,Eilean Siar (Western Isles),Coastal Geomorphology of Scotland,Machair,Notified,NF894783,57.69,-7.21,89400,878300,01-Jan-80,23-Jun-83,SNH,"The area comprises two extensive machairs, with most kinds of Uist machair surface represented, and includes tidal strands and inlets and some of the largest areas of sandy mature saltmarsh in the Uists. Machair Robach is unparalleled in demonstrating the result of extreme dissection of the mature high machair plateau by wind erosion, with deep blowout penetration and ridge retreat. Remnants of the old machair plateau and escarpments are separated by low, marshy deflation plains, in places superimposed with redepositional forms. The clear and distinctive landforms allow reconstruction of former machair surfaces and the processes which have eroded them. North of Hornish Point, Newton Machair represents the best example of a truncated machair sequence, direct evidence for considerable coastline retreat since the formation of the machair.",Quaternary,"IA,IS",MACHAIRS ROBACH & NEWTON
233,"Mangersta Sands, Lewis",Eilean Siar (Western Isles),Coastal Geomorphology of Scotland,Machair,Notified,NB009309,58.17,-7.09,100900,930900,01-Jan-80,23-Jun-83,SNH,"Occupying a highly exposed position in the floor of a seaward-facing depression, Mangersta is probably the best example of a stripped machair in the Highlands and Islands. The machair surface is severely deflated and, over much of the area, the bare sand deflation floor is coincident with the water table. Such extreme deflation may represent an advanced stage of machair development, but the complex relationship of stripped machair to factors such as land subsidence, high energy conditions and land use practices has not yet been fully researched; Mangersta offers an excellent example for further study of these interactions.",Quaternary,"IA,IS",MANGERSTA SANDS
234,Pabbay,Eilean Siar (Western Isles),Coastal Geomorphology of Scotland,Machair,Notified,NF880866,57.76,-7.25,88000,886600,01-Jan-80,23-Jun-83,SNH,"The small island of Pabbay contains examples of most types of machair and dune surfaces represented in the Outer Hebrides as well as unique, large-scale, conical sand dunes. It provides an important site for comparative studies of dune and machair geomorphology since there is no evidence that rabbit grazing ever affected natural machair development. In addition, there are several areas on the south-east coast of Pabbay where intertidal and submerged peat beds are found in association with freshwater deposits and interstratified blown sand layers. These and other submerged peat sites are currently being studied and it is hoped that they may provide a guide to understanding the initiation of dune and machair formation and of coastline evolution in the Uists and Harris. In such a model, Pabbay would undoubtedly be a key site.",Quaternary,"IA,IS",Pabbay
235,Traigh na Berie,Eilean Siar (Western Isles),Coastal Geomorphology of Scotland,Machair,Confirmed,NB116352,58.21,-6.91,111600,935200,01-Jan-80,23-Jun-83,SNH,"Traigh na Berie comprises a self-contained beach complex surounded by the ice-scoured Lewisian gneiss plateau and containing a comprehensive range of interrelated landforms including beach, dunes and plain and hill machair. In addition, owing to the complexity of processes involved and the activity of the site, several stages of dune development are well-represented. Of particular interest are the primary, accreting, yellow foredunes which are particularly rare in peripheral parts of the highlands and Islands, where most examples which do occur are of a rejuvenated or redeposited type. The complex interaction of contrasting processes, the variety of landform elements this has produced, and the evidence of past erosional episodes all combine to distinguish this beach complex and make it of outstanding importance as a machair site.",Quaternary,"IA,IS",
236,Elliscales Quarry,West Cumbria,Dinantian of Northern England & North Wales,Lake District Block and Alston Block,Notified,SD224747,54.16,-3.19,322400,474700,01-Jan-80,26-Oct-82,NE,"Arguably the most important site exposing Red Hill Oolite and lower Dalton Beds, of Arundian age, in Cumbria. The site represents the best exposures of extremely unusual and unique reef structures peculiar to the Red Hill Oolite. The site is invaluable for research purposes as the reefs are still of problematical origin. A key Dinantian site.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",ELLISCALES QUARRY
237,Humphrey Head,East Cumbria,Dinantian of Northern England & North Wales,Lake District Block and Alston Block,Notified,SD379739,54.16,-2.95,337900,473900,01-Jan-80,26-Oct-82,NE,"One of the best palaeontological sites within the Dinantian of Cumbria, this site provides an exceptional section of Brigantian strata in the North-West Province. It contains the finest development of Garwood's Nodular Girvenella Band to be seen anywhere in northern England and also an extensive colonial coral fauna. The site is immensely valuable for the purposes of teaching and future research particularly in palaeoecology.",Carboniferous,,HUMPHREY HEAD
238,Meathop Quarry,East Cumbria,Dinantian of Northern England & North Wales,Lake District Block and Alston Block,Notified,SD432791,54.20,-2.87,343200,479100,01-Jan-80,26-Oct-82,NE,"The most interesting development of the Martin Limestone in Cumbria is exposed at Meathop Quarry. It contains an enormous variety of palaeontological and sedimentological features including fossil plant horizons, desiccation polygons and a wealth of carbonate sediment-types critical to our understanding of the palaeogeography during the late Courceyan, Chadian and early Arundian stages. A classic site for palaeontological research and for studies in carbonate sedimentology.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",MEATHOP WOODS AND QUARRY
239,Skelwith Hill,East Cumbria,Dinantian of Northern England & North Wales,Lake District Block and Alston Block,Notified,SD331809,54.22,-3.03,333100,480900,01-Jan-80,26-Oct-82,NE,"This site contains one of the most interesting, and controversial exposures of the Chadian-Arundian Stage boundary in the Lake District. The Skelwith Breccia lying between the Martin Limestone and Red Hill Oolite provides evidence of unconformity between the two formations and this is supported by micro- palaeontological evidence. The stratigraphic relationships of the Skelwith Breccia are problematic, although it is known to represent part of an extremely complicated ancient soil profile. As such the site is of great value for research particularly in the field of carbonate sedimentology and diagenesis.",Carboniferous,Inland Outcrops and Stream Sections,SKELWITH HILL
240,Haresfield Hill,Gloucestershire,Toarcian,,Notified,SO819088,51.78,-2.26,381900,208800,01-Dec-79,05-Apr-84,NE,"This locality is particularly famous for its stratigraphically highly significant ammonite and brachiopod faunas from the opalinum, aalensis and moorei subzones.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",HARESFIELD BEACON
241,Coaley Wood,Gloucestershire,Toarcian,The Severn Basin,Notified,ST786996,51.69,-2.31,378600,199600,01-Jan-80,05-Apr-84,NE,"Coaley wood has long been famous for its abundant ammonites, from the, here, thin and highly condensed Cephalopod Bed. It is particularly noted for the ammonites from the basal striatulum Subzone horizon. The underlying Cotteswold Sands, which are intermittently exposed in a sunken lane section have an isolated, thin sandstone band yielding what are otherwise very rare variabilis Zone Haugia.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",COALEY WOOD QUARRIES
242,Wotton Hill,Gloucestershire,Toarcian,The Severn Basin,Notified,ST754940,51.64,-2.36,375400,194000,01-Jan-80,05-Apr-84,NE,"Wotton Hill exposes an almost complete section through the Inferior Oolite (Aalenian/Bajocian) down into the Cephalopod Bed, and Cotteswold Sands. Two sections show an upper exposure with Upper Trigonia Grit overlying Lower Inferior Oolite (Fiddler's Elbow Limestone and Trocester Hill Oolite), and a lower section with Scissum Beds (Leckhampton Limestone) overlying the Cephalopod Bed. The latter is particularly notable for, what is in the Cotswolds, a relatively thick and complete ammonite-rich sequence through the basal levesquei and thouarsense zones.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",WOTTON HILL
243,Nibley Knoll,Gloucestershire,Toarcian,,Deleted,ST744956,51.66,-2.37,374400,195600,01-Dec-81,05-Apr-84,NE,"SITE FOUND TO BE WANTING WITH REGARD TO TOARCIAN STRATIGRAPHY, BUT IS FINE FOR AALENIAN-BAJOCIAN STRATA
SITE NOT PUBLISHED IN VOLUME 30, THEREFORE. RECORD DELETED BY NE 24/6/04

The lower exposure shows a similar thick section of the Cephalopod Bed to that of Wotton Hill, but which in this case is complemented by a good section of the underlying Cotteswold Sands in the sides of the sunken lane.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",NIBLEY KNOLL
